name,genre,year,score,votes,budget,gross,runtime
Inception,Action,2010,8.8,2100000,160000000,836836967,148
Iron Man 2,Action,2010,7,746000,200000000,623933331,124
Shutter Island,Mystery,2010,8.2,1200000,80000000,294805697,138
Scott Pilgrim vs. the World,Action,2010,7.5,394000,60000000,48917974,112
Grown Ups,Comedy,2010,5.9,233000,80000000,271457301,102
She's Out of My League,Comedy,2010,6.4,130000,20000000,49779728,104
Kick-Ass,Action,2010,7.6,535000,30000000,96188903,117
Black Swan,Drama,2010,8,716000,13000000,329398046,108
The Town,Crime,2010,7.5,363000,37000000,154026136,125
Flipped,Comedy,2010,7.7,85000,14000000,4324817,90
The Social Network,Biography,2010,7.7,645000,40000000,224920375,120
Robin Hood,Action,2010,6.6,257000,200000000,321669741,140
Monsters,Adventure,2010,6.4,89000,500000,5060438,94
Insidious,Horror,2010,6.8,287000,1500000,99557032,103
Tangled,Animation,2010,7.7,417000,260000000,592462816,100
RED,Action,2010,7,295000,58000000,199006387,111
I Spit on Your Grave,Horror,2010,6.3,79000,2000000,1278650,108
The Last Airbender,Action,2010,4,156000,150000000,319713881,103
How to Train Your Dragon,Animation,2010,8.1,685000,165000000,494879471,98
The American,Crime,2010,6.3,94000,20000000,67876281,105
Incendies,Drama,2010,8.3,158000,6800000,7099598,131
Sex and the City 2,Comedy,2010,4.5,76000,100000000,290745055,146
Burlesque,Drama,2010,6.4,81000,55000000,89520336,119
Alice in Wonderland,Adventure,2010,6.4,392000,200000000,1025468216,108
Despicable Me,Animation,2010,7.6,512000,69000000,543113985,95
Love & Other Drugs,Comedy,2010,6.7,186000,30000000,102820008,112
True Grit,Drama,2010,7.6,319000,38000000,252276927,110
The Tourist,Action,2010,6,230000,100000000,278780441,103
The Twilight Saga: Eclipse,Action,2010,5,233000,68000000,698491347,124
Percy Jackson & the Olympians: The Lightning Thief,Adventure,2010,5.9,180000,95000000,226497209,118
Clash of the Titans,Action,2010,5.8,274000,125000000,493214993,106
The Book of Eli,Action,2010,6.9,300000,80000000,157107755,118
Blue Valentine,Drama,2010,7.3,188000,1000000,15440333,112
Knight and Day,Action,2010,6.3,184000,117000000,261989769,109
Piranha 3D,Comedy,2010,5.4,87000,24000000,83188165,88
127 Hours,Biography,2010,7.5,356000,18000000,60738797,94
The Expendables,Action,2010,6.5,331000,80000000,274470394,103
The Other Guys,Action,2010,6.6,249000,100000000,170458922,107
TRON: Legacy,Action,2010,6.8,319000,170000000,400063852,125
Life as We Know It,Comedy,2010,6.5,126000,38000000,105734416,114
Toy Story 3,Animation,2010,8.2,776000,200000000,1066970811,103
The Next Three Days,Action,2010,7.3,189000,30000000,67448651,133
Easy A,Comedy,2010,7,368000,8000000,75026327,92
The King's Speech,Biography,2010,8,651000,15000000,427374317,118
The Fighter,Biography,2010,7.8,348000,25000000,129190869,116
Machete,Action,2010,6.6,192000,10500000,45491656,105
The Debt,Drama,2010,6.8,67000,20000000,45636368,113
Megamind,Animation,2010,7.2,236000,130000000,321885765,95
The Losers,Action,2010,6.3,94000,25000000,29397654,97
Unstoppable,Action,2010,6.8,189000,100000000,167805466,98
The Karate Kid,Action,2010,6.2,168000,40000000,359126022,140
Eat Pray Love,Biography,2010,5.8,92000,60000000,204594016,133
Centurion,Action,2010,6.3,80000,12000000,6890432,97
The A-Team,Action,2010,6.7,250000,110000000,177238796,117
Hot Tub Time Machine,Comedy,2010,6.4,165000,36000000,64780213,101
Prince of Persia: the Sands of Time,Action,2010,6.6,277000,200000000,336365676,116
Diary of a Wimpy Kid,Animation,2010,6.2,45000,15000000,76196538,120
Never Let Me Go,Drama,2010,7.1,140000,15000000,9918093,103
Predators,Action,2010,6.4,216000,40000000,127233108,107
Buried,Drama,2010,7,153000,3000000,19439764,95
Legion,Action,2010,5.3,101000,26000000,67918658,100
